Declan Desmond,	Eric Idle,	"'Scuse Me While I Miss the Sky",	3/20/2003
Disco Stu,	Hank Azaria,	"Two Bad Neighbors",	1/14/1996
Dolph,	Tress MacNeille,	"The Telltale Head",	2/25/1990
Lunchlady Doris,	Doris Grau (1991-1995) Tress MacNeille (1996-present),	"Lisa's Pony",	11/7/1991
Dr. Nick Riviera,	Hank Azaria,	"Bart Gets Hit by a Car",	1/10/1991
Duffman,	Hank Azaria,	"The City of New York vs. Homer Simpson",	9/21/1997
Eddie and Lou,	Harry Shearer\Hank Azaria,	"There's No Disgrace Like Home",	1/28/1990
Fat Tony,	Joe Mantegna,	"Bart the Murderer",	10/10/1991
Maude Flanders,	Maggie Roswell,	"Dead Putting Society",	11/15/1990
Ned Flanders,	Harry Shearer,	"Simpsons Roasting on an Open Fire",	12/17/1989
Rod Flanders,	Pamela Hayden,	"The Call of the Simpsons",	2/18/1990
Todd Flanders,	Nancy Cartwright,	"Simpsons Roasting on an Open Fire",	12/17/1989
Francesca,	Maria Grazia Cucinotta,	"The Italian Bob",	12/11/2005
Frankie the Squealer,	Dan Castellaneta,	"Insane Clown Poppy",	11/12/2000
Professor John Frink,	Hank Azaria,	"Old Money",	3/28/1991
Baby Gerald,	Unvoiced,	"Sweet Seymour Skinner's Baadasssss Song",	4/28/1994
Ginger Flanders,	Tress MacNeille,	"Viva Ned Flanders",	1/10/1999
Gino Terwilliger,	Tress MacNeille,	"The Italian Bob",	12/11/2005
Alice Glick,	Cloris Leachman\Tress MacNeille,	"Three Men and a Comic Book",	5/9/1991
Gloria Jailbird,	Julia Louis-Dreyfus,	"A Hunka Hunka Burns in Love",	12/2/2001
Groundskeeper Willie,	Dan Castellaneta,	"Principal Charming",	2/14/1991
Barney Gumble,	Dan Castellaneta,	"Simpsons Roasting on an Open Fire",	12/17/1989
Gil Gunderson,	Dan Castellaneta,	"Realty Bites",	12/7/1997
Judge Constance Harm,	Jane Kaczmarek,	"The Parent Rap",	11/11/2001
Herman Hermann,	Harry Shearer,	"Bart the General",	2/4/1990
Bernice Hibbert,	Tress MacNeille,	"Bart's Dog Gets an "F"",	3/7/1991
Dr. Julius Hibbert,	Harry Shearer,	"Bart the Daredevil",	12/6/1990
Homer Simpson,	Dan Castellaneta,	"Good Night (The Simpsons short)",	4/19/1987
Elizabeth Hoover,	Maggie Roswell,	"Brush with Greatness",	4/11/1991
Lionel Hutz,	Phil Hartman,	"Bart Gets Hit by a Car",	1/10/1991
